row_id,content,theme,sentiment_word,sentiment_anls
1,我也觉得不好用。胳膊搽了晚上都是斑斑点点的红疹。说了客服翻来覆去就那句老话。产品没有问题。。没有问题哪个有时间说这些,觉得;产品;,不好用;没有问题;,-1;1;
2,好，不错，感觉这是一次很不错的购物,NULL;NULL;购物;,好;不错;不错;,1;1;1;
3,外观漂亮！服务态度很好！很满意[追评]很好用,外观;服务态度;NULL;NULL;,漂亮;很好;满意;好用;,1;1;1;1;
4,***产品，来电不震动。,,,
5,噪音还是有的，声音还是挺大的、就是外观不错很漂亮，也好清洗,声音;外观;NULL;NULL;,挺大;不错;漂亮;好清洗;,1;1;1;1;
6,夹滴不是很好，稍稍动就掉了,NULL;NULL;,不是很好;掉了;,-1;-1;
7,刚买的新冰箱就一道大划痕，给我30块钱要私了，果断差评，都是啥事啊。,NULL;NULL;,划痕;差评;,-1;-1;
8,松下洗衣机真不愧是老品牌，不错好用给个赞,NULL;NULL;NULL;,不错;好用;赞;,1;1;1;
9,哎呀，板板一侧身就会关屏幕，要重新输密码，咋回事啊。挺不顺的，bug吗？,NULL;,不顺;,-1;
10,绝对差评!不谈相机如何，进店被宣传搞优惠活动，买了才几天，竟然又掉400多，无价格保护措施，后查订单里有4件赠品，可只给一个，反映客服无人解决，让到店里自行交涉，索要销售电话也不给，只能给予网购以来的第一个差评！,NULL;NULL;,差评;差评;,-1;-1;
11,很差劲，质量不好，,NULL;质量;,差劲;不好;,-1;-1;
12,产品假的要命，简直是我在网上购物最差的一次，比我在天虹商场买的24元的护发素差劲100倍,产品;购物;护发素;,假;差;差劲;,-1;-1;-1;
13,这个中评不是给键盘，键盘很好用。给配货员！我要的是白色的，居然给我发个黑色的，懒得退换了。PS：本想给个差评，看在键盘好用的份上，勉强给个中评！,NULL;键盘;NULL;NULL;NULL;,中评;好用;差评;好用;中评;,0;1;-1;1;0;
14,来了竟然直接有裂痕。。。衰啊，退货了直接。。,NULL;,裂痕;,-1;
15,可以。。。。。。。。。。。。。。。。。。。。,NULL;,可以;,1;
16,上门安装服务态度很好！调试后和自己的想象一样！不错,服务态度;NULL;,很好;不错;,1;1;
17,一般吧，车上制冷很慢,NULL;制冷;,一般;很慢;,0;-1;
18,前一天晚上十点买的79.9，第二天一大早就变成75.8了，，，，价格就这么不稳定？？？无语了,价格;NULL;,不稳定;无语;,-1;-1;
19,看着很简陋，做工挺粗操的。,看着;,简陋;,-1;
20,团购活动买的，2天到货，回家后十分钟组装好，开着就没停，风力强有3个转换，有一组是柔和风，定时效果好，遥控器控制方便，便宜实惠耐用。值得推荐。,NULL;效果;控制;NULL;NULL;NULL;NULL;,柔和;好;方便;便宜;实惠;耐用;值得推荐;,1;1;1;1;1;1;1;
21,用了半个多月，手机现在返厂维修了,,,
22,收到货包装是旧的，有破损，拆开后，发现硬盘有用过的痕迹，硬盘各脚还有灰尘，表面有轻微划伤。正考虑是否退货。购物体验奇差。,包装;NULL;表面;购物体验;,旧;破损;划伤;奇差;,-1;-1;-1;-1;
23,开始担心1.6kg会有点重，纠结了很久，拿到手感觉还是很轻的。只是前盖金属拉丝没有金属质感，后壳是塑料的，美观性差了点。体统占用空间较大，就只剩200G可用。希望后面好用。,NULL;NULL;NULL;NULL;美观性;NULL;,有点重;纠结;很久;很轻;差;好用;,-1;-1;-1;1;-1;1;
24,油烟机装好了 东西质量很好 安装师傅非常热情 相信使用效果会很好 谢谢,质量;安装师傅;效果;,很好;热情;很好;,1;1;1;
25,非常好，价格很划算，pluse3 出来无爱，果断入手2代,NULL;价格;NULL;,好;划算;无爱;,1;1;1;
26,内胆看起来不那么干净，有一点油脂，烧水噪音有点大。。。,噪音;,有点大;,-1;
27,线太短，差评！,线;NULL;,太短;差评;,-1;-1;
28,榨果汁不得行,NULL;,不得行;,-1;
29,很好[追评]灵。,NULL;,很好;,1;
30,还没收到就降价了,,,
31,左边就是送的奶牛，右边是自己的。只能说送的奶牛真是无语了。,NULL;NULL;,牛;无语;,1;-1;
32,容量很大，但是洗衣好像不带劲，强度不够，衣服少的时候甩干机效果也不好，衣服拧得出水。洗衣机装好了看到底盖也没有给我装，问客服说没必要装，我理解的既然产品这样设计的就应该是每个环节都是有用的。,容量;强度;效果;,很大;不够;不好;,1;-1;-1;
33,很不错的质量，家里买了好几个送人都说好，店家的服务特别好。物流快也很热情。,质量;服务;物流;NULL;,不错;好;快;热情;,1;1;1;1;
34,发货迅速等待安装，观看感受等使用后再来评价,发货;,迅速;,1;
35,可以，，，，，，，,NULL;,可以;,1;
36,山寨版,,,
37,非常完美，爸妈都喜欢,NULL;NULL;,完美;喜欢;,1;1;
38,装上去挺好看的，不占地方，很高端哦！颜色也很喜欢。,装上去;NULL;NULL;颜色;,好看;不占地方;高端;喜欢;,1;1;1;1;
39,冰箱非常好，非常静音，放卧室都不会觉得吵，物流给力，大热天搬到4楼，没有电梯的。还很热心的帮忙介绍新机注意事项，非常好,冰箱;NULL;觉得;物流;NULL;,好;静音;吵;给力;热心;,1;1;-1;1;1;
40,物流飞速，昨买今到，价格搞不清，昨买599，今天就499。坑人！,物流;NULL;,飞速;坑人;,1;-1;
41,其它方面都还好，就是电池太不赖用啊，一般只能用一天。,NULL;电池;NULL;,还好;不赖用;一般;,1;-1;0;
42,可以不错，，，，一直在用，，，冰一下是用效果更好很好～～～,NULL;NULL;效果;,可以;不错;很好;,1;1;1;
43,"燥音特大,外表温度发烫,温度特高.送货暴力，建议购买4000元以上的！",温度;送货;,发烫;暴力;,-1;-1;
44,很好用，不错，就价格贵了，买后就降了10块,NULL;NULL;价格;,好用;不错;贵;,1;1;-1;
45,太容易碎了，轻轻磕碰了一下就裂了,NULL;NULL;,碎;裂;,-1;-1;
46,质量太差，魅族***手机，祝早点倒闭，还不如魅蓝NOTE5，大家千万别买！做工越来越差，屏幕也不好，没有NOTE5好，大黑边看着想吐！拍照还不如NOTE5，千万别买这部手机，祝魅族快点倒闭！我后悔了，现在就想退货！,质量;屏幕;NULL;,太差;不好;后悔;,-1;-1;-1;
47,大品牌，好,,,
48,商品已经安装，由于没有通天然气，所以没有试机，配件还是比较贵了，虽然标的是公司统一价，要不用不保修的，物流差评吧，赠品差评吧，送货都送别人家去了。,配件;物流;赠品;,较贵;差评;差评;,-1;-1;-1;
49,没什么效果。精华也较少,精华;,较少;,-1;
50,到手遥控器扫风键不能用，苏宁安装说不带开孔，不能按照服务标准说明的打孔安装，安装人外机也没有规范固定，放外面钉子订上就好，不怕刮风掉下去，总之服务不满意，标准与实际太差，售后处理苏宁和美的推脱，处理缓慢,扫风键;服务;标准;NULL;处理;,不能用;不满意;太差;推脱;缓慢;,-1;-1;-1;-1;-1;
51,产品跟店家所说参数出入好大，店家参数电源线长有1米。收到货实际只有70厘米。出货前再三跟客服确认电源线长有1米长。收到货电源线短不能正常使用。,NULL;,好大;,-1;
52,售后回答问题比较耐心,回答问题;,耐心;,1;
53,收到的加湿器外观有磨损 是掉漆那种 非常影响外观 和售后沟通说补20元 考虑到退货也麻烦就算了 但问了一两周也没有返 就是在拖延时间 发货也是四天后 很慢 现在严重怀疑不是全新的,外观;退货;NULL;NULL;NULL;,磨损;麻烦;拖延时间;很慢;不是全新;,-1;-1;-1;-1;-1;
54,冰箱已收到不知道质量怎么样里面的铜管暴露问售后他们说这款冰箱都是这样的不知道真假反正不是很满意所以介意大家以后买东西一定要慎重,NULL;,慎重;,-1;
55,很好，售后服务很放心。,NULL;售后服务;,很好;放心;,1;1;
56,刚用，感觉一般，波动幅度不够，振动可以。贴合不够,NULL;振动;贴合;,一般;不够;不够;,0;-1;-1;
57,有色差，还没用，用了在来！,,,
58,顺利收到，声音很小，很安静，谢谢！,声音;NULL;,很小;安静;,1;1;
59,电池很快就没电,电池;,很快;,1;
60,很是方便。实惠耐用,NULL;NULL;,方便;实惠;,1;1;
61,鼠标垫的图案不是KT猫的图案，还有一股味道。,,,
62,用了这么久，好像没什么效果,,,
63,发票呢？没有发票，物流比购买时时间显示不符,NULL;,不符;,-1;
64,不错，一直用米家的东西,NULL;,不错;,1;
65,发货慢不说，货到了扫码预约安装，选择安装机型居然没有超4X40的型号。联系客服也没人理睬。第一次买乐视的产品就是如此差的体验。看来这品牌售后很有问题,发货;客服;体验;售后;,慢;没人理睬;差;有问题;,-1;-1;-1;-1;
66,非常好用时间刚刚好声音可以接受范围小巧不占地方,时间;声音;,好用;可以;,1;1;
67,东西拿到有点脏，感觉像是被人用过了,东西;,有点脏;,-1;
68,网络比较慢,网络;,较慢;,-1;
69,当天下单，隔天送到，再一天即安装上了，感觉还好，师傅上门材料费和页面公示有出入，但260也算能接受，大热天还是辛苦他们了。期望产品质量值得我信赖就好，相信苏宁～,NULL;NULL;NULL;产品质量;NULL;,还好;能接受;辛苦;值得;信赖;,1;1;1;1;1;
70,网孔太大，起不了什么作用，,网孔;,太大;,-1;
71,花了2300买了个手机还要花一大把的时间去售后处理充电器质量问题，客服说充电器坏了不属于质量问题，估计东西卖出去就是顾客认倒霉吧苏宁售后也没解决，,NULL;NULL;,坏;倒霉;,-1;-1;
72,我要的是玻璃的，给我送的塑料膜，太差了以后不在你这里买了[追评]***商家，膜太差了，各位别买了，膜的大小还不一样，建议别买了,NULL;膜;,太差;太差;,-1;-1;
73,分辨率太低，雾蒙蒙的。,分辨率;,太低;,-1;
74,我觉得这次购物还是比较失败！吸力真的不大！,购物;吸力;,失败;不大;,-1;0;
75,给父母买的，爸爸妈妈非常高兴，电视效果好，质量好，值得购买。,NULL;效果;质量;,高兴;好;值得购买;,1;1;1;
76,有时还是有点卡，重启后输手势密码总说不对,NULL;NULL;,有点卡;不对;,-1;-1;
77,移动硬盘不错，但有点挑电脑，老些的电脑还是读不出硬盘啊！,移动硬盘;,不错;,1;
78,只要你在苏宁易购购了物，他们的工作人员就会经常变着名目来骚扰你，已经说过他们很多次了，以后不要打电话来骚扰，但他们还是无所顾忌的经常打电话骚扰！强烈谴责苏宁这种下三滥不道德行为！,NULL;,骚扰;,-1;
79,很香,NULL;,很香;,1;
80,这款冰箱真的是失望了……一直在苏宁家买电器的，想买个小的给出租屋用，到了后才发现冷冻室好小好小呀！只能平躺着放350的饮料4瓶……小也就算了，用了几天，冰箱里的菜靠冰箱壁的一面菜直接是冻上了……然后又发现冷冻室也是！靠壁的是冻上的，中间的是软的，并且还结了厚厚的冰霜……我觉得结冰的冰箱就像小时候家里用了20多年的看冰箱才会这样吧……,冰箱;,失望;,-1;
81,油烟机已经装好好几天了，这几天忙了点，没有及时点评使用情况。总体来讲，我对机子很满意，机子很大气，吸力很好，油烟吸得很干净！邻居见了也说赞，说过几天也要购这样一台！,机子;机子;吸力;吸得;NULL;,满意;大气;很好;干净;赞;,1;1;1;1;1;
82,睁开眼镜看清楚，第一张我要的，后面两张你们发的货，一样吗？一样吗？这么简单的问题使劲问。电话轰炸吗？,,,
83,超不好,NULL;,不好;,-1;
84,一般，电池一天就没电了，容量没介绍的那么大,NULL;,一般;,0;
85,灶台轴特别滚烫，不好。,NULL;,不好;,-1;
86,总体很好很超值，但是洗衣机正面的那个纸贴“力甩手”三个字真烦人，想撕也撕不下去,总体;NULL;NULL;,很好;超值;烦人;,1;1;-1;
87,外观好看，容量蛮大，关键免烫手，不错,外观;容量;NULL;,好看;蛮大;不错;,1;1;1;
88,质量非常好，老板很有耐心，很开心的一次购物，下次还会光顾,质量;老板;NULL;,好;有耐心;开心;,1;1;1;
89,吸尘器效果非常好,效果;,好;,1;
90,物流慢13号下的单19号才到货，而且我要的是白色，打开后发现很脏，不知道摆放了多久,物流;NULL;,慢;很脏;,-1;-1;
91,东西收到了，包装挺好，还是挺不错的，期待后续使用情况,包装;NULL;,挺好;不错;,1;1;
92,其他都还好，就是塑料做的，应该不值这个价格，希望能够改进。,NULL;价格;,还好;不值;,1;-1;
93,商品与卖家描述的根本不一样。无良商家虚假宣传。,NULL;商家;,无良;虚假;,-1;-1;
94,太差劲了  跟品牌鼠标质量差太多 滚轮粗糙辣手 包装不好,NULL;质量;包装;,差劲;粗糙;不好;,-1;-1;-1;
95,"苏宁质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢",质量;NULL;NULL;,好;满意;喜欢;,1;1;1;
96,充电效果好,充电效果;,好;,1;
97,还没有用。感觉还可以,NULL;,还可以;,1;
98,已经买过多次了,,,
99,手感不错，连接顺畅,手感;连接;,不错;顺畅;,1;1;
100,很赞的产品,产品;,很赞;,1;
101,出现了一次闪屏，看视频有时候会卡，其他还行[追评]最近老是卡屏，希望给个解释,NULL;视频;NULL;,闪屏;卡;还行;,-1;-1;1;
102,特意用了才来评价，首先外包装太***了，盒子被压扁，而且盒子没有包装没有封口，都不知道真假，像是自己放进去的，之后面膜特别干，保湿精华也少，敷上就觉得干，不滋润，这次购物实在不满意，以后肯定不会在买了，懒的退了，,面膜;NULL;NULL;购物;,干;干;不滋润;不满意;,-1;-1;-1;-1;
103,卡呢，根本就没卡，就一张说明书,NULL;NULL;,卡;没卡;,-1;1;
104,这款电视真的非常不错哦，用起反应灵敏，画面清晰，音质也非常好，五星好评,电视;反应;画面;音质;NULL;,不错;灵敏;清晰;好;五星好评;,1;1;1;1;1;
105,好的喝喝水都好都好,,,
106,试了一下冰箱，还可以,NULL;,还可以;,1;
107,卡成什么样了,,,
108,下雨送货辛苦了，,NULL;,辛苦;,1;
109,新机子里面连个说明书都没有,,,
110,非常气愤，以后尽可能不在苏宁买了。安装师傅非要按支架，要150。装修师傅说没有必要，虽然是空心砖，但水泥够厚。我承诺出问题自己负责，也还是不给我安装。非要强制消费，单方面定标准。,NULL;NULL;NULL;,气愤;厚;负责;,-1;0;1;
111,快递很给力，拆开看了有点失望，感觉像是放了很长时间，有锈点,快递;NULL;,给力;失望;,1;-1;
112,膜小边都覆盖不住！而且白边严重去除不了跟客服沟通不说话连续两天没人理！,NULL;,没人理;,-1;
113,两个usb端口插上去一个显示1.0A一个显示.05A，还有那个线显示1.0A，不满意，说了要发票的，也没寄过来，,NULL;,不满意;,-1;
114,收到后还没用，等用过后再来评价,,,
115,外观细节上稍微有点粗糙，不过不影响使用，感觉还不错,细节;NULL;使用;,粗糙;不影响;不错;,-1;0;1;
116,太划算了,NULL;,划算;,1;
117,感觉像买到假的了，今天下午收到晚上就用了一片，精华涂上脸有点热乎乎的感觉，打天面膜敷上脸感觉面膜纸上的精华很少，心想把袋子里剩的摸上，结果袋子里根本就没有了，精华太少了，之前在实体店买的精华都很多，查了一下又说是真的，难道是厂家做假？我都有点怀疑那个扫码和磁条了，都不知道到底是真是假了，感觉被骗了,NULL;NULL;精华;NULL;,假;很少;太少;被骗了;,-1;-1;-1;-1;
118,已经第二次买了，便宜！,NULL;,便宜;,1;
119,一分钱一分货吧，,,,
120,综合考虑下来买了这个大黑，有闪屏现象，对象出差就带走了，暂时也没处理，有分量，后期闪屏现象严重的话再考虑售后。,NULL;NULL;,闪屏;闪屏;,-1;-1;
121,东西太差,东西;,太差;,-1;
122,产品很好，会推荐朋友来,产品;NULL;,很好;推荐;,1;1;
123,电脑买了20多天，每天都要自动重启一次，烦的一笔,NULL;,烦;,-1;
