20001,就那样吧,NULL;,就那样;,0;
20002,电视不错屏幕上沿的应该是密封胶条出来了一小块，不影响使用也就算了，其他还是挺好的，电视挺漂亮，操作简单方便，免费内容也很多，新房装修完再买一台[追评]售后及时联系，给出解决方案，还是很贴心的，不错的购物体验！,电视;操作;购物体验;NULL;NULL;使用;售后;电视;,不错;简单方便;不错;挺好;贴心;不影响;及时;漂亮;,1;1;1;1;1;0;1;1;
20003,物流太慢了！！！！！！！！！！！,物流;,太慢了;,-1;
20004,水箱小了，勤倒水，大点更好,;,;,;
20005,货真价实，值得信赖。,NULL;NULL;,货真价实;值得信赖;,1;1;
20006,很凉爽，感觉可以,NULL;,凉爽;,1;
20007,跟在店里买的不一样，左边图用到脸上感觉黏黏的，没右边那个用的清爽。,NULL;NULL;,黏黏的;没清爽;,-1;-1;
20008,在苏宁买东西最憋屈的一次，买来充电线用不了，联系客服说要去找售后开证明，国庆期间售后都不上班啊，非要去售后做检测才会给退货或者换货，到时候我也要上班没时间啊，我想不是什么时候都有时间的，客服电话过来态度又那么冲，我能说什么呢～随便在网上买一条线凑合着用吧，不是那一两百块的问题，以后再也不会在这平台买东西了，伤心.,东西;NULL;NULL;NULL;充电线;,憋屈;随便;伤心;凑合着用;用不了;,-1;-1;-1;0;-1;
20009,不错，很好用,NULL;NULL;,不错;好用;,1;1;
20010,商品收到了，包装很好，质量也很好，卖家服务态度很好，发货快,态度;发货;质量;包装;,很好;快;很好;很好;,1;1;1;1;
20011,物流超级慢，客服不给解决问题，网购以来第一次差评,网购;物流;,差评;慢;,-1;-1;
20012,水壶不错，具有一定的性价比,水壶;,不错;,1;
20013,快递很快,快递;,很快;,1;
20014,后摄像头没有夜视和产品说明不相符，欺骗消费者，,产品;NULL;,不相符;欺骗;,-1;-1;
20015,不试了下，还不错,NULL;,不错;,1;
20016,还没开始用,;,;,;
20017,电脑挺厚的  谈不上轻薄 4厘米是有 20块钱不要了,NULL;电脑;,轻薄;挺厚;,0;1;
20018,为什么我买的电磁炉声音好大,声音;,好大;,-1;
20019,刚刚收到货2017年10月9日下的单。打开手机照片里面有一张2017年2月16日的照片，明显我买的这手机已经有人用了很久了，插卡处磨损厉害，手机边有刮痕。无良商家,商家;磨损;,无良;厉害;,-1;1;
20020,还行   包装有点脏,NULL;包装;,还行;有点脏;,1;-1;
20021,手机手感不错，性能有般，买贵了。。。,手感;NULL;,不错;贵;,1;-1;
20022,电子不符,NULL;,不符;,-1;
20023,到货速度快，还没有使用，看着不错。很满意的一次购物。,购物;到货速度;看着;,满意;快;不错;,1;1;1;
